Books,Score
['A+ All-In-One Certification Exam Guide'],0.8504519845337857
['Harry Potter and the Order of the Phoenix (Book 5)'],0.6297848193465648
['Harry Potter and the Order of the Phoenix (Book 5)'],0.6297848193465648
['Autobiography of a Yogi (Self-Realization Fellowship)'],0.5890718081216585
['Harry Potter and the Order of the Phoenix (Book 5)'],0.5807742713639276
['Harry Potter and the Order of the Phoenix (Book 5)'],0.5311284619563201
['Autobiography of a Yogi (Self-Realization Fellowship)'],0.530032411991264
"['Natural Cures ""They"" Don\'t Want You to Know about']",0.5260526798739322
"['Natural Cures ""They"" Don\'t Want You to Know about']",0.5260526798739322
"['Natural Cures ""They"" Don\'t Want You to Know about']",0.5260526798739322
